Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
PhD,Computer Science,23,3.66,85,"Software Engineering, Cybersecurity, Machine Learning",Data Science in Computer Science,Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Data Structures,58,Male,Private University,5,3.3
PhD,Computer Science,29,3.3299999999999996,82,"Operating Systems, Artificial Intelligence",Data Science in Computer Science,"Cybersecurity, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Data Structures, Artificial Intelligence",74,Non-Binary,Community College,29,4.9
Bachelors,Computer Science,6,4.0,58,"Data Structures, Machine Learning","Data Science in Computer Science, Cybersecurity Trends in Computer Science, AI in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Algorithms, Cybersecurity",28,Non-Binary,Community College,5,4.6
Bachelors,Computer Science,9,3.61,94,"Algorithms, Data Science",Data Science in Computer Science,Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Software Engineering,40,Male,Open University,3,4.0
Bachelors,Computer Science,6,3.7600000000000002,81,"Data Science, Cybersecurity, Machine Learning","Cybersecurity Trends in Computer Science, AI in Computer Science, Data Science in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Software Engineering,35,Non-Binary,Private University,1,3.8
PhD,Computer Science,19,3.18,60,"Algorithms, Cybersecurity, Machine Learning, Data Structures","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, Data Science in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Artificial Intelligence,77,Non-Binary,Private University,25,4.9
Bachelors,Computer Science,4,4.0,91,"Algorithms, Data Science, Machine Learning","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Operating Systems, Software Engineering",39,Male,Open University,5,4.1
PhD,Computer Science,30,4.0,58,"Operating Systems, Algorithms",Data Science in Computer Science,Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Algorithms,74,Non-Binary,State University,13,4.6
PhD,Information Technology,23,3.73,75,"Web Development, IT Project Management","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology","Network Security, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,IT Project Management,69,Male,State University,28,3.0
Bachelors,Information Technology,7,4.0,57,"IoT, Cloud Computing, Big Data","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,IoT,40,Non-Binary,Community College,2,3.2
PhD,Computer Science,20,3.3200000000000003,74,"Algorithms, Machine Learning","Cloud Innovations in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,Data Structures,66,Female,Private University,21,3.2
Masters,Information Technology,17,3.27,54,"Database Systems, Network Security, IT Project Management","Data Science in Information Technology, AI in Information Technology","IoT, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,Big Data,59,Male,State University,6,3.8
Bachelors,Computer Science,10,4.0,58,"Artificial Intelligence, Algorithms","AI in Computer Science, Data Science in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Software Engineering,38,Male,Private University,5,4.6
PhD,Computer Science,19,3.56,68,"Cybersecurity, Data Science",AI in Computer Science,Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"Cybersecurity, Machine Learning",71,Female,Private University,12,4.6
Bachelors,Information Technology,5,3.5,62,"Network Security, Blockchain, Cloud Computing, IT Project Management",AI in Information Technology,IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"Web Development, Database Systems",40,Female,Open University,0,3.7
Masters,Computer Science,13,3.07,51,"Machine Learning, Operating Systems","AI in Computer Science, Data Science in Computer Science","Cybersecurity, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,Artificial Intelligence,51,Female,Community College,13,4.1
Masters,Information Technology,12,3.34,69,"IoT, Network Security",Cybersecurity Trends in Information Technology,"Web Development, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Web Development, IoT",52,Female,Community College,11,3.9
Bachelors,Computer Science,7,3.8,76,"Data Science, Data Structures, Operating Systems, Algorithms","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Data Science, Cybersecurity",40,Non-Binary,Private University,2,4.5
Masters,Information Technology,20,3.6500000000000004,99,"Cloud Computing, IT Project Management, Database Systems",Cybersecurity Trends in Information Technology,Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Database Systems,45,Non-Binary,Private University,13,4.8
PhD,Computer Science,21,3.39,65,"Data Science, Artificial Intelligence, Data Structures, Operating Systems","AI in Computer Science, Cybersecurity Trends in Computer Science","Machine Learning, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Algorithms, Data Science",73,Female,Community College,18,3.0
Bachelors,Information Technology,3,3.7,72,"Web Development, Network Security, IoT",Cybersecurity Trends in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,Blockchain,27,Non-Binary,Open University,2,4.8
PhD,Information Technology,26,3.9899999999999998,90,"IT Project Management, Network Security, Blockchain",Data Science in Information Technology,Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Blockchain, IT Project Management",75,Male,Private University,21,4.0
Masters,Computer Science,5,3.3899999999999997,84,"Algorithms, Data Structures, Artificial Intelligence, Operating Systems","Cloud Innovations in Computer Science, AI in Computer Science, Data Science in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Algorithms,30,Male,Private University,11,4.0
PhD,Computer Science,20,4.0,82,"Data Structures, Operating Systems, Software Engineering, Cybersecurity","Cloud Innovations in Computer Science, Data Science in Computer Science, AI in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,"Artificial Intelligence, Data Structures",55,Non-Binary,State University,15,4.0
Bachelors,Computer Science,2,3.6,93,"Artificial Intelligence, Operating Systems, Machine Learning","AI in Computer Science, Cloud Innovations in Computer Science","Data Structures, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Operating Systems, Cybersecurity",28,Non-Binary,State University,4,4.3
Masters,Information Technology,9,4.0,55,"Network Security, Blockchain, Web Development, Database Systems","AI in Information Technology, Data Science in Information Technology, Cybersecurity Trends in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,"IoT, Network Security",47,Female,Private University,8,4.2
PhD,Information Technology,26,3.64,52,"Web Development, Cloud Computing","Data Science in Information Technology, AI in Information Technology","Database Systems, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"IoT, Network Security",84,Female,Community College,12,4.2
PhD,Computer Science,26,3.9699999999999998,51,"Artificial Intelligence, Operating Systems, Data Science","Data Science in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Cybersecurity,67,Non-Binary,Community College,14,3.0
Masters,Information Technology,11,3.9,63,"Network Security, Blockchain, IT Project Management",Data Science in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Network Security,56,Female,Private University,2,3.9
Masters,Computer Science,7,3.93,68,"Algorithms, Software Engineering, Cybersecurity","Data Science in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Software Engineering, Data Structures",46,Female,Private University,1,3.7
Bachelors,Computer Science,9,3.33,73,"Cybersecurity, Machine Learning, Software Engineering, Artificial Intelligence","AI in Computer Science, Data Science in Computer Science","Algorithms, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Operating Systems, Software Engineering",34,Female,Open University,0,3.9
Masters,Computer Science,17,3.29,70,"Software Engineering, Data Structures, Algorithms, Artificial Intelligence","AI in Computer Science, Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science","Artificial Intelligence, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Data Science, Software Engineering",49,Female,Private University,1,3.3
Masters,Computer Science,8,4.0,92,"Machine Learning, Cybersecurity, Artificial Intelligence","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Algorithms,33,Male,Open University,1,4.0
Bachelors,Computer Science,9,3.55,57,"Cybersecurity, Software Engineering, Machine Learning, Data Structures","Data Science in Computer Science, Cloud Innovations in Computer Science","Machine Learning, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Operating Systems, Data Science",41,Non-Binary,Private University,5,3.1
PhD,Information Technology,26,4.0,77,"Blockchain, IoT","AI in Information Technology, Cloud Innovations in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,Blockchain,69,Male,Private University,13,4.6
Bachelors,Information Technology,10,4.0,92,"Web Development, Cloud Computing, Big Data","Data Science in Information Technology, AI in Information Technology, Cloud Innovations in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Big Data, Network Security",36,Male,Private University,0,4.2
Bachelors,Computer Science,8,3.33,78,"Algorithms, Artificial Intelligence, Data Structures","AI in Computer Science, Data Science in Computer Science","Cybersecurity, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Algorithms,32,Male,State University,4,3.1
PhD,Information Technology,26,3.83,74,"IT Project Management, Web Development",Data Science in Information Technology,"Database Systems, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Big Data, Blockchain",81,Non-Binary,State University,30,3.4
Bachelors,Information Technology,3,3.58,52,"Web Development, Cloud Computing, Database Systems, Big Data","AI in Information Technology, Cybersecurity Trends in Information Technology, Data Science in Information Technology","Cloud Computing, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,"Big Data, IoT",26,Female,State University,0,3.0
PhD,Computer Science,10,3.6,79,"Software Engineering, Operating Systems, Data Science","Cloud Innovations in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science","Machine Learning, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,Cybersecurity,50,Non-Binary,Community College,18,3.5
Bachelors,Computer Science,7,3.48,69,"Artificial Intelligence, Data Structures, Data Science, Machine Learning",AI in Computer Science,"Artificial Intelligence, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Software Engineering, Algorithms",29,Non-Binary,Open University,3,4.4
Masters,Computer Science,16,3.8400000000000003,89,"Algorithms, Cybersecurity, Data Structures","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science, AI in Computer Science","Cybersecurity, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Machine Learning, Artificial Intelligence",59,Male,Private University,14,3.4
Masters,Information Technology,17,4.0,74,"Web Development, Cloud Computing, Blockchain",Cybersecurity Trends in Information Technology,IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Database Systems, Cloud Computing",60,Non-Binary,Private University,11,3.6
PhD,Information Technology,11,4.0,79,"Database Systems, Cloud Computing",Cloud Innovations in Information Technology,IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Network Security,59,Male,Private University,8,4.3
Masters,Computer Science,8,3.5300000000000002,78,"Cybersecurity, Operating Systems",Cloud Innovations in Computer Science,"Software Engineering, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Data Science, Cybersecurity",45,Non-Binary,Open University,15,4.6
PhD,Computer Science,23,4.0,70,"Algorithms, Data Structures",Cybersecurity Trends in Computer Science,"Operating Systems, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,Data Science,83,Female,Private University,21,3.4
Bachelors,Computer Science,5,3.73,71,"Data Structures, Data Science, Operating Systems","Data Science in Computer Science, AI in Computer Science, Cloud Innovations in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Software Engineering,33,Female,State University,5,4.5
Masters,Computer Science,17,3.96,52,"Algorithms, Operating Systems, Data Science, Data Structures","Data Science in Computer Science, Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Data Science, Artificial Intelligence",57,Male,State University,4,4.9
PhD,Computer Science,15,3.8099999999999996,80,"Algorithms, Data Structures","Cybersecurity Trends in Computer Science, Data Science in Computer Science, AI in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Algorithms, Data Structures",58,Non-Binary,Open University,15,4.6
PhD,Computer Science,20,3.7399999999999998,84,"Cybersecurity, Operating Systems, Data Structures","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, Data Science in Computer Science","Algorithms, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,Data Science,78,Female,State University,16,4.1
Masters,Information Technology,18,4.0,94,"Database Systems, Web Development, IoT, Big Data",Data Science in Information Technology,"Network Security, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"IoT, Cloud Computing",48,Non-Binary,Community College,15,4.0
Masters,Information Technology,9,3.98,92,"Database Systems, Big Data, Web Development, Cloud Computing",Cloud Innovations in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,IoT,47,Female,Private University,13,3.3
Bachelors,Information Technology,7,4.0,60,"Blockchain, IoT",Cybersecurity Trends in Information Technology,Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,"IoT, Database Systems",30,Male,State University,5,4.1
Masters,Computer Science,20,3.93,64,"Cybersecurity, Software Engineering","AI in Computer Science, Cloud Innovations in Computer Science","Software Engineering, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,"Data Structures, Cybersecurity",48,Non-Binary,Private University,9,4.8
PhD,Information Technology,26,3.74,62,"Web Development, IT Project Management","Data Science in Information Technology, Cloud Innovations in Information Technology, AI in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,"Network Security, Database Systems",83,Non-Binary,Community College,26,4.7
Bachelors,Computer Science,9,3.5,75,"Operating Systems, Algorithms, Data Structures, Cybersecurity","Data Science in Computer Science, Cloud Innovations in Computer Science","Machine Learning, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Cybersecurity,32,Non-Binary,Community College,5,3.8
Masters,Computer Science,6,4.0,93,"Operating Systems, Machine Learning, Software Engineering","Data Science in Computer Science, Cybersecurity Trends in Computer Science","Data Structures, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Cybersecurity,44,Non-Binary,Open University,6,3.7
PhD,Information Technology,16,3.53,69,"IoT, Big Data","AI in Information Technology, Cloud Innovations in Information Technology, Data Science in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Cloud Computing,61,Female,Private University,9,3.7
Bachelors,Computer Science,7,3.46,91,"Cybersecurity, Data Science, Software Engineering, Operating Systems","Cybersecurity Trends in Computer Science, AI in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Artificial Intelligence, Cybersecurity",38,Female,State University,2,4.3
Masters,Information Technology,13,3.46,51,"Blockchain, Network Security, Big Data",AI in Information Technology,IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,IoT,54,Male,Private University,5,4.0
PhD,Information Technology,12,3.4299999999999997,53,"Network Security, IT Project Management, Database Systems",Data Science in Information Technology,Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"IoT, Network Security",72,Non-Binary,Private University,17,4.4
Masters,Computer Science,13,3.93,60,"Data Structures, Artificial Intelligence, Data Science","AI in Computer Science, Cloud Innovations in Computer Science","Operating Systems, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Artificial Intelligence, Cybersecurity",51,Female,State University,4,4.2
Masters,Computer Science,17,3.6,61,"Machine Learning, Data Structures, Cybersecurity, Algorithms",Data Science in Computer Science,Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Data Science,59,Non-Binary,Private University,11,3.5
Bachelors,Information Technology,10,3.68,52,"Database Systems, IoT, IT Project Management, Big Data","Data Science in Information Technology, Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology",Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,IT Project Management,37,Non-Binary,Private University,1,4.9
Bachelors,Computer Science,9,3.13,60,"Operating Systems, Artificial Intelligence, Data Structures, Data Science","AI in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Cybersecurity, Data Science",37,Male,Private University,2,3.1
Bachelors,Computer Science,5,3.4,51,"Algorithms, Operating Systems, Data Structures","AI in Computer Science, Cloud Innovations in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,Data Science,30,Male,Private University,2,4.2
Masters,Information Technology,18,4.0,81,"Blockchain, Database Systems, Network Security","AI in Information Technology, Cybersecurity Trends in Information Technology","Blockchain, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,IT Project Management,49,Male,Community College,1,4.1
PhD,Computer Science,23,3.97,73,"Operating Systems, Machine Learning, Artificial Intelligence","AI in Computer Science, Cybersecurity Trends in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Software Engineering, Operating Systems",76,Non-Binary,Private University,23,3.0
PhD,Information Technology,17,3.7399999999999998,80,"Database Systems, Network Security, Cloud Computing","Data Science in Information Technology, AI in Information Technology, Cloud Innovations in Information Technology","Cloud Computing, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,IT Project Management,66,Female,Community College,13,4.9
Bachelors,Computer Science,1,3.72,54,"Data Structures, Algorithms, Artificial Intelligence",Cloud Innovations in Computer Science,"Artificial Intelligence, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Machine Learning, Software Engineering",29,Non-Binary,State University,2,4.2
Bachelors,Computer Science,7,3.25,63,"Algorithms, Cybersecurity, Operating Systems, Software Engineering",AI in Computer Science,Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Software Engineering, Cybersecurity",40,Female,Community College,3,4.8
Bachelors,Computer Science,7,3.6900000000000004,76,"Algorithms, Operating Systems",Cloud Innovations in Computer Science,"Machine Learning, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,Artificial Intelligence,36,Male,State University,0,3.8
Bachelors,Information Technology,10,3.17,53,"Web Development, Network Security, Blockchain, IT Project Management","Data Science in Information Technology, AI in Information Technology","Blockchain, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Database Systems, Blockchain",33,Non-Binary,Open University,5,3.6
Bachelors,Computer Science,10,3.76,99,"Cybersecurity, Operating Systems, Data Science","Cloud Innovations in Computer Science, Data Science in Computer Science","Data Science, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Data Science, Software Engineering",42,Male,Community College,1,4.7
Masters,Computer Science,12,3.73,96,"Software Engineering, Algorithms, Artificial Intelligence","Cloud Innovations in Computer Science, AI in Computer Science, Data Science in Computer Science","Cybersecurity, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,Algorithms,57,Female,Open University,13,4.6
Masters,Information Technology,17,3.44,55,"Database Systems, Web Development","Cybersecurity Trends in Information Technology, AI in Information Technology, Data Science in Information Technology","Cloud Computing, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Cloud Computing,51,Non-Binary,State University,14,4.7
Masters,Information Technology,16,3.28,71,"Network Security, Big Data",Cybersecurity Trends in Information Technology,Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Blockchain,53,Male,Open University,3,3.3
PhD,Computer Science,25,3.92,57,"Operating Systems, Artificial Intelligence, Cybersecurity","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Operating Systems, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Artificial Intelligence,74,Male,Private University,20,4.5
PhD,Information Technology,28,3.5900000000000003,60,"Database Systems, IT Project Management, Big Data","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,Blockchain,87,Non-Binary,State University,9,4.7
PhD,Computer Science,24,3.75,57,"Artificial Intelligence, Software Engineering, Operating Systems, Data Structures",Cybersecurity Trends in Computer Science,Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,"Software Engineering, Algorithms",74,Non-Binary,Community College,5,4.0
Masters,Information Technology,20,3.79,79,"Database Systems, Big Data, Network Security","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology, Data Science in Information Technology",Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Network Security,59,Female,Private University,2,4.5
Bachelors,Information Technology,3,4.0,72,"Database Systems, IT Project Management",Cloud Innovations in Information Technology,"Web Development, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Network Security,32,Male,Open University,2,3.3
Bachelors,Information Technology,6,4.0,90,"Web Development, Network Security, Big Data","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Blockchain, Web Development",40,Female,Private University,3,5.0
Bachelors,Information Technology,10,4.0,68,"Blockchain, Cloud Computing, Big Data",Cybersecurity Trends in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Big Data,34,Male,Community College,0,3.4
